region,country,iso3,year,pathogen,specimen,antibiotic,resistant,tested,ast_standard,ast_version,test_method,source_url
EU_EEA,Austria,AUT,2021,Escherichia coli,Blood/invasive,Carbapenems,1,5206,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2022,Escherichia coli,Blood/invasive,Carbapenems,6,4973,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2023,Escherichia coli,Blood/invasive,Carbapenems,7,5351,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2001,Escherichia coli,Blood/invasive,Fluoroquinolones,14,199,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2002,Escherichia coli,Blood/invasive,Fluoroquinolones,48,472,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2003,Escherichia coli,Blood/invasive,Fluoroquinolones,138,977,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2004,Escherichia coli,Blood/invasive,Fluoroquinolones,310,1854,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2005,Escherichia coli,Blood/invasive,Fluoroquinolones,397,2049,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2006,Escherichia coli,Blood/invasive,Fluoroquinolones,544,2463,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2007,Escherichia coli,Blood/invasive,Fluoroquinolones,650,2531,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2008,Escherichia coli,Blood/invasive,Fluoroquinolones,682,2975,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2009,Escherichia coli,Blood/invasive,Fluoroquinolones,536,2616,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2010,Escherichia coli,Blood/invasive,Fluoroquinolones,611,2925,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2011,Escherichia coli,Blood/invasive,Fluoroquinolones,704,3162,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2012,Escherichia coli,Blood/invasive,Fluoroquinolones,742,3610,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2013,Escherichia coli,Blood/invasive,Fluoroquinolones,940,4279,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2014,Escherichia coli,Blood/invasive,Fluoroquinolones,920,4642,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2015,Escherichia coli,Blood/invasive,Fluoroquinolones,963,4808,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2016,Escherichia coli,Blood/invasive,Fluoroquinolones,1047,5278,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2017,Escherichia coli,Blood/invasive,Fluoroquinolones,1098,5367,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
